#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  65
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  35
#! SET periodic_psi true
   -3.141592654   -3.141592654   17.130485352  -47.901464776   17.612722650
   -3.044928264   -3.141592654   12.876171195  -39.939482415   17.000110194
   -2.948263875   -3.141592654    9.432066621  -31.213856522   16.406900222
   -2.851599486   -3.141592654    6.854340937  -22.141150566   16.063206626
   -2.754935096   -3.141592654    5.149330514  -13.226962612   16.134002866
   -2.658270707   -3.141592654    4.271497745   -5.125495307   16.642299966
   -2.561606318   -3.141592654    4.115510437    1.580829352   17.472771860
   -2.464941928   -3.141592654    4.523181243    6.484912005   18.427735800
   -2.368277539   -3.141592654    5.312380146    9.467833812   19.348381820
   -2.271613150   -3.141592654    6.310118206   10.891954042   20.180598605
   -2.174948760   -3.141592654    7.395176638   11.394408371   20.952309132
   -2.078284371   -3.141592654    8.509582594   11.478176852   21.695754699
   -1.981619981   -3.141592654    9.619010152   11.338772082   22.406695590
   -1.884955592   -3.141592654   10.695552002   10.683893378   23.040993337
   -1.788291203   -3.141592654   11.681883177    9.523197516   23.630354733
   -1.691626813   -3.141592654   12.543284146    8.226975382   24.333788738
   -1.594962424   -3.141592654   13.310919918    7.721881744   25.446412865
   -1.498298035   -3.141592654   14.116694602    9.213892624   27.294871992
   -1.401633645   -3.141592654   15.202426599   13.649619651   30.078314329
   -1.304969256   -3.141592654   16.871417173   21.214289663   33.780333492
   -1.208304867   -3.141592654   19.395575577   31.144384224   38.125736618
   -1.111640477   -3.141592654   22.930727236   41.855203296   42.645720719
   -1.014976088   -3.141592654   27.469566202   51.649496898   46.759109515
   -0.918311699   -3.141592654   32.867044143   59.477295376   49.890399737
   -0.821647309   -3.141592654   38.909297633   65.005795050   51.540912912
   -0.724982920   -3.141592654   45.366794789   68.037984481   51.378815625
   -0.628318531   -3.141592654   51.981548881   68.171436334   49.297783608
   -0.531654141   -3.141592654   58.447394059   64.870310341   45.437609353
   -0.434989752   -3.141592654   64.418598931   57.959384441   40.160111177
   -0.338325363   -3.141592654   69.564572650   47.980501218   33.953266899
   -0.241660973   -3.141592654   73.636741826   35.919912102   27.263653097
   -0.144996584   -3.141592654   76.485820301   22.810896331   20.389245786
   -0.048332195   -3.141592654   78.042341800    9.218642567   13.425322037
    0.048332195   -3.141592654   78.264049558   -4.816702703    6.370546652
    0.144996584   -3.141592654   77.100088951  -19.399144319   -0.748289441
    0.241660973   -3.141592654   74.508565135  -34.284599175   -7.762538917
    0.338325363   -3.141592654   70.499957416  -48.502207401  -14.327328267
    0.434989752   -3.141592654   65.214613293  -60.347977381  -19.975008119
    0.531654141   -3.141592654   58.976907155  -67.849526057  -24.222248269
    0.628318531   -3.141592654   52.295647317  -69.288157448  -26.687140019
    0.724982920   -3.141592654   45.806692194  -63.855212621  -27.200403415
    0.821647309   -3.141592654   40.161099556  -51.997602823  -25.883505811
    0.918311699   -3.141592654   35.906958074  -35.415614172  -23.154549223
    1.014976088   -3.141592654   33.389192168  -16.521550698  -19.618767380
    1.111640477   -3.141592654   32.706907764    2.162831715  -15.906841412
    1.208304867   -3.141592654   33.732142211   18.545636137  -12.527403941
    1.304969256   -3.141592654   36.178297831   31.443142202   -9.786813612
    1.401633645   -3.141592654   39.690460263   40.632520180   -7.790955540
    1.498298035   -3.141592654   43.928749872   46.535286191   -6.502560218
    1.594962424   -3.141592654   48.593787501   49.472421264   -5.774684461
    1.691626813   -3.141592654   53.389519749   49.130716952   -5.368924966
    1.788291203   -3.141592654   57.962174519   44.692684215   -4.983941025
    1.884955592   -3.141592654   61.885207368   35.619619052   -4.306807572
    1.981619981   -3.141592654   64.721451359   22.416580015   -3.086069677
    2.078284371   -3.141592654   66.142619730    6.647246751   -1.210410592
    2.174948760   -3.141592654   65.998780276   -9.621521258    1.268553420
    2.271613150   -3.141592654   64.328708861  -24.726830840    4.165462580
    2.368277539   -3.141592654   61.291241196  -37.853609448    7.228306841
    2.464941928   -3.141592654   57.090004714  -48.703591767   10.200873258
    2.561606318   -3.141592654   51.955802788  -57.126841521   12.860151572
    2.658270707   -3.141592654   46.144455231  -62.641741255   15.041797568
    2.754935096   -3.141592654   39.955074186  -64.885727508   16.645757656
    2.851599486   -3.141592654   33.706222648  -63.937260153   17.649632278
    2.948263875   -3.141592654   27.681995907  -60.328427803   18.081341746
    3.044928264   -3.141592654   22.103932949  -54.799641518   18.028909028

   -3.141592654   -2.962073073   20.849780589  -48.915446659   23.394972714
   -3.044928264   -2.962073073   16.493470163  -40.985287306   22.930632120
   -2.948263875   -2.962073073   12.960017124  -31.965089307   22.566030082
   -2.851599486   -2.962073073   10.334964688  -22.330203785   22.395161661
   -2.754935096   -2.962073073    8.644457979  -12.736865199   22.475722315
   -2.658270707   -2.962073073    7.844451720   -4.027252597   22.807976907
   -2.561606318   -2.962073073    7.814509581    3.047177423   23.348106697
   -2.464941928   -2.962073073    8.370793227    8.063217236   24.016737752
   -2.368277539   -2.962073073    9.310686092   11.004729435   24.749269714
   -2.271613150   -2.962073073   10.453662087   12.370271160   25.515946993
   -2.174948760   -2.962073073   11.679874211   12.837036488   26.301630021
   -2.078284371   -2.962073073   12.930363235   12.848824276   27.061431185
   -1.981619981   -2.962073073   14.164144576   12.517890956   27.725443256
   -1.884955592   -2.962073073   15.343135547   11.644345714   28.225549721
   -1.788291203   -2.962073073   16.418961058   10.473279724   28.627493163
