#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  65
#! SET periodic_phi true
   -3.141592654   15.254433079  -49.740603889
   -3.044928264   10.832026853  -41.543145909
   -2.948263875    7.259673990  -32.258243235
   -2.851599486    4.603120850  -22.780806362
   -2.754935096    2.832150603  -14.110193283
   -2.658270707    1.829474123   -6.962048584
   -2.561606318    1.433168121   -1.556894585
   -2.464941928    1.485207084    2.305343476
   -2.368277539    1.854411358    5.105422487
   -2.271613150    2.447352796    6.893349560
   -2.174948760    3.150290111    7.260846622
   -2.078284371    3.797561769    5.625099794
   -1.981619981    4.182458531    1.840991135
   -1.884955592    4.122284033   -3.321333730
   -1.788291203    3.554478028   -8.426248615
   -1.691626813    2.569292211  -11.678678483
   -1.594962424    1.414671477  -11.749382742
   -1.498298035    0.437542802   -7.992018748
   -1.401633645    0.000000000   -0.725502877
   -1.304969256    0.382777258    8.681408633
   -1.208304867    1.701174739   18.324826829
   -1.111640477    3.897719770   26.638694997
   -1.014976088    6.808522960   33.101738736
   -0.918311699   10.259995855   37.912561345
   -0.821647309   14.107670916   41.316913050
   -0.724982920   18.209661331   43.077719134
   -0.628318531   22.382360094   42.702678106
   -0.531654141   26.404084117   39.963355948
   -0.434989752   30.054870710   35.137875396
   -0.338325363   33.156613069   28.645415611
   -0.241660973   35.565979959   20.778711005
   -0.144996584   37.151496041   11.688182815
   -0.048332195   37.802540785    1.520995749
    0.048332195   37.439752208   -9.235636106
    0.144996584   36.038951954  -19.814415024
    0.241660973   33.654791490  -29.398574403
    0.338325363   30.422469374  -37.243563718
    0.434989752   26.549045877  -42.580518069
    0.531654141   22.305398840  -44.732777755
    0.628318531   18.020015519  -43.442587112
    0.724982920   14.028943027  -38.686075015
    0.821647309   10.656141236  -30.712592682
    0.918311699    8.194458448  -19.887829815
    1.014976088    6.893993042   -6.797166718
    1.111640477    6.942523511    7.846151514
    1.208304867    8.452462504   23.407883404
    1.304969256   11.483274319   39.172301002
    1.401633645   16.021763743   54.409350595
    1.498298035   21.955422557   67.793175645
    1.594962424   29.011438945   77.304415436
    1.691626813   36.723214089   80.978215907
    1.788291203   44.462312098   77.810332686
    1.884955592   51.565381619   67.990886223
    1.981619981   57.439238787   52.619758055
    2.078284371   61.616035828   33.049727520
    2.174948760   63.760540136   10.843777973
    2.271613150   63.699943117  -12.172055348
    2.368277539   61.469860185  -33.650432725
    2.464941928   57.340554331  -51.037527136
    2.561606318   51.803266291  -62.607990941
    2.658270707   45.447352358  -68.036838718
    2.754935096   38.818191273  -68.551281989
    2.851599486   32.300989868  -65.986838628
    2.948263875   26.117060381  -61.776362168
    3.044928264   20.397050893  -56.445008092
