#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  65
#! SET periodic_phi true
   -3.141592654 -102.790799788  -49.911335915
   -3.044928264 -107.221666339  -41.551938832
   -2.948263875 -110.789085142  -32.181305283
   -2.851599486 -113.437278815  -22.716965029
   -2.754935096 -115.203711806  -14.090660874
   -2.658270707 -116.204162004   -6.932468999
   -2.561606318 -116.593719719   -1.452469121
   -2.464941928 -116.527293987    2.478833058
   -2.368277539 -116.140866285    5.254139433
   -2.271613150 -115.537722026    6.939127088
   -2.174948760 -114.834883663    7.212160559
   -2.078284371 -114.192260602    5.583508771
   -1.981619981 -113.806187910    1.903626791
   -1.884955592 -113.854750907   -3.166805666
   -1.788291203 -114.406995622   -8.294582624
   -1.691626813 -115.385066827  -11.687104615
   -1.594962424 -116.548550718  -11.929071141
   -1.498298035 -117.547911223   -8.270764110
   -1.401633645 -118.013140291   -1.022968843
   -1.304969256 -117.658861911    8.369816797
   -1.208304867 -116.373346861   17.934476399
   -1.111640477 -114.219592456   26.132963053
   -1.014976088 -111.359558464   32.571176804
   -0.918311699 -107.951760362   37.566761575
   -0.821647309 -104.119070890   41.367329485
   -0.724982920  -99.988406988   43.603614623
   -0.628318531  -95.745156393   43.595205985
   -0.531654141  -91.628287012   40.983983205
   -0.434989752  -87.881872185   36.053496201
   -0.338325363  -84.701565926   29.331639389
   -0.241660973  -82.236291338   21.247823492
   -0.144996584  -80.611851381   12.030212703
   -0.048332195  -79.929195289    1.835437821
    0.048332195  -80.259362023   -8.879844251
    0.144996584  -81.621756728  -19.387553992
    0.241660973  -83.960696951  -28.905961040
    0.338325363  -87.143296009  -36.731925867
    0.434989752  -90.968547101  -42.121143518
    0.531654141  -95.172536203  -44.390468653
    0.628318531  -99.431065711  -43.245276012
    0.724982920 -103.408392130  -38.599019341
    0.821647309 -106.775494189  -30.686080034
    0.918311699 -109.234785569  -19.869927336
    1.014976088 -110.532432231   -6.777326725
    1.111640477 -110.482546759    7.839487398
    1.208304867 -108.977412821   23.279300297
    1.304969256 -105.970628251   38.761672576
    1.401633645 -101.494085563   53.486068109
    1.498298035  -95.682749443   66.150966800
    1.594962424  -88.823153092   74.879490706
    1.691626813  -81.375932288   77.983035087
    1.788291203  -73.934955390   74.720025377
    1.884955592  -67.110938574   65.388546677
    1.981619981  -61.445825410   50.942005039
    2.078284371  -57.378636271   32.450344034
    2.174948760  -55.242587075   11.226655273
    2.271613150  -55.226085639  -11.007275400
    2.368277539  -57.313892044  -31.920649276
    2.464941928  -61.258107341  -48.995286272
    2.561606318  -66.595400946  -60.583099089
    2.658270707  -72.770429098  -66.387221097
    2.754935096  -79.268685093  -67.525304160
    2.851599486  -85.718485091  -65.613817483
    2.948263875  -91.890095004  -61.861423753
    3.044928264  -97.627512726  -56.693291930
