#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  114
#! SET periodic_phi true
   -3.141592654   92.485075886   44.689199098
   -3.086476993   94.849604143   40.593599458
   -3.031361332   96.976205132   36.080469325
   -2.976245672   98.844475172   31.296229672
   -2.921130011  100.438892688   26.380012924
   -2.866014351  101.764937761   21.523995944
   -2.810898690  102.828452789   16.854951779
   -2.755783029  103.644444705   12.542838458
   -2.700667369  104.239967205    8.719132469
   -2.645551708  104.629130207    5.308162408
   -2.590436048  104.847914231    2.521613554
   -2.535320387  104.924204030    0.165070566
   -2.480204727  104.877377873   -1.898817978
   -2.425089066  104.727382838   -3.543084101
   -2.369973405  104.500797602   -4.900025527
   -2.314857745  104.208254400   -5.875757878
   -2.259742084  103.878188011   -6.429953919
   -2.204626424  103.517812978   -6.679405358
   -2.149510763  103.154781081   -6.337162660
   -2.094395102  102.825008860   -5.507781362
   -2.039279442  102.559437691   -3.965486719
   -1.984163781  102.400344325   -1.883983586
   -1.929048121  102.361490892    0.610128013
   -1.873932460  102.469264175    3.396481602
   -1.818816799  102.727138689    6.035927224
   -1.763701139  103.126112663    8.358546311
   -1.708585478  103.639309571   10.098104790
   -1.653469818  104.224953937   10.993849690
   -1.598354157  104.827527796   10.835293018
   -1.543238497  105.384573033    9.454324634
   -1.488122836  105.835437029    6.907467872
   -1.433007175  106.118031044    3.329377908
   -1.377891515  106.175992246   -1.115166127
   -1.322775854  105.981947380   -5.884502023
   -1.267660194  105.516239967  -10.936029916
   -1.212544533  104.778987199  -15.751473883
   -1.157428872  103.775236548  -20.165933706
   -1.102313212  102.545932847  -24.124405913
   -1.047197551  101.113412625  -27.546301558
   -0.992081891   99.508976805  -30.514683468
   -0.936966230   97.757483062  -33.038635484
   -0.881850569   95.871256849  -35.226267141
   -0.826734909   93.865618921  -37.076375203
   -0.771619248   91.776329830  -38.491980816
   -0.716503588   89.626970933  -39.324021485
   -0.661387927   87.445181239  -39.463069939
   -0.606272266   85.277687097  -38.913813281
   -0.551156606   83.163545744  -37.572375165
   -0.496040945   81.146372970  -35.483621451
   -0.440925285   79.256086949  -32.840403231
   -0.385809624   77.527846107  -29.581960292
   -0.330693964   75.994658588  -25.866206070
   -0.275578303   74.670160470  -21.835505107
   -0.220462642   73.592215309  -17.424781525
   -0.165346982   72.761223935  -12.727123321
   -0.110231321   72.195725038   -7.667343532
   -0.055115661   71.911955986   -2.421912830
    0.000000000   71.928080883    3.010621327
    0.055115661   72.257985494    8.600044932
    0.110231321   72.881993710   14.014395594
    0.165346982   73.802320929   19.213940800
    0.220462642   74.997180069   24.239979640
    0.275578303   76.458182854   28.654903568
    0.330693964   78.148257432   32.503264376
    0.385809624   80.031577730   35.707435744
    0.440925285   82.069258465   37.988158262
    0.496040945   84.210714826   39.418253291
    0.551156606   86.405946969   39.901392091
    0.606272266   88.595640236   39.397896440
    0.661387927   90.729303630   37.785360700
    0.716503588   92.747192419   35.229969704
    0.771619248   94.595260600   31.646939346
    0.826734909   96.218340609   27.126980979
    0.881850569   97.568827280   21.815727704
    0.936966230   98.603099866   15.715876283
    0.992081891   99.289422827    9.026366301
    1.047197551   99.585078356    1.876645305
    1.102313212   99.480357248   -5.739421121
    1.157428872   98.943886112  -13.540640612
    1.212544533   97.969706167  -21.529029703
    1.267660194   96.563357696  -29.528261888
    1.322775854   94.707005429  -37.387545588
    1.377891515   92.433710399  -44.973995788
    1.433007175   89.748362517  -52.076058317
    1.488122836   86.696103411  -58.439482231
    1.543238497   83.317513470  -63.726595937
    1.598354157   79.687014421  -67.576956649
    1.653469818   75.887125691  -69.794174529
    1.708585478   72.015426913  -70.122813518
    1.763701139   68.186725772  -68.482099652
    1.818816799   64.491316265  -65.181193182
    1.873932460   61.030738451  -60.104318355
    1.929048121   57.890380795  -53.469849795
    1.984163781   55.148929006  -45.447661569
    2.039279442   52.890897879  -36.292748322
    2.094395102   51.159884299  -26.206480694
    2.149510763   50.011452847  -15.352243347
    2.204626424   49.475185880   -4.075006236
    2.259742084   49.571619934    7.376901765
    2.314857745   50.285487798   18.546042019
    2.369973405   51.597647265   28.937499049
    2.425089066   53.457498367   38.229329238
    2.480204727   55.786012014   46.039318713
    2.535320387   58.496748492   52.116399286
    2.590436048   61.505934762   56.481120750
    2.645551708   64.699944905   59.221793728
    2.700667369   68.013535277   60.517728791
    2.755783029   71.364820526   60.570501698
    2.810898690   74.693609007   59.893439347
    2.866014351   77.970463933   58.469528142
    2.921130011   81.145917299   56.590475781
    2.976245672   84.212904046   54.325719186
    3.031361332   87.141779580   51.582259932
    3.086476993   89.906272522   48.382192832
