#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  114
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  62
#! SET periodic_psi true
   -3.141592654   -3.141592654   68.867718405   41.718752095  -15.137420029
   -3.086476993   -3.141592654   71.091864094   38.186366175  -14.975829103
   -3.031361332   -3.141592654   73.111227940   34.359338305  -14.794296631
   -2.976245672   -3.141592654   74.913456385   30.435990060  -14.663741856
   -2.921130011   -3.141592654   76.496264577   26.345157250  -14.562738430
   -2.866014351   -3.141592654   77.851144911   21.931990124  -14.544468756
   -2.810898690   -3.141592654   78.952391492   17.340598025  -14.578486940
   -2.755783029   -3.141592654   79.794717863   12.601033630  -14.748853553
   -2.700667369   -3.141592654   80.371091410    7.840391289  -15.039816813
   -2.645551708   -3.141592654   80.686249213    3.408227420  -15.474005634
   -2.590436048   -3.141592654   80.767408115   -0.652257583  -15.917745071
   -2.535320387   -3.141592654   80.632448614   -4.208606265  -16.371383311
   -2.480204727   -3.141592654   80.331543013   -7.014183286  -16.874512209
   -2.425089066   -3.141592654   79.886329703   -9.067245939  -17.316443629
   -2.369973405   -3.141592654   79.348606217  -10.430649991  -17.730729989
   -2.314857745   -3.141592654   78.745140734  -11.117870175  -18.087048062
   -2.259742084   -3.141592654   78.141660727  -11.207823472  -18.430186588
   -2.204626424   -3.141592654   77.532698078  -11.036986487  -18.704973083
   -2.149510763   -3.141592654   76.935379383  -10.635551098  -18.973900108
   -2.094395102   -3.141592654   76.361197587  -10.278728152  -19.252531910
   -2.039279442   -3.141592654   75.796417673  -10.004686431  -19.512340341
   -1.984163781   -3.141592654   75.243775495   -9.686240512  -19.727846205
   -1.929048121   -3.141592654   74.714588063   -9.552405947  -20.082252495
   -1.873932460   -3.141592654   74.186745239   -9.345327493  -20.321571628
   -1.818816799   -3.141592654   73.670559814   -9.054445284  -20.566780951
   -1.763701139   -3.141592654   73.175227287   -8.524467572  -20.892732981
   -1.708585478   -3.141592654   72.710214824   -8.046781187  -21.277488211
   -1.653469818   -3.141592654   72.264967445   -7.569315615  -21.740056609
   -1.598354157   -3.141592654   71.845879106   -7.279459230  -22.367442627
   -1.543238497   -3.141592654   71.430979424   -7.437205934  -23.138777047
   -1.488122836   -3.141592654   70.986521374   -8.200942715  -24.129594136
   -1.433007175   -3.141592654   70.475870283   -9.721106575  -25.356727252
   -1.377891515   -3.141592654   69.863546983  -12.191072123  -26.930484398
   -1.322775854   -3.141592654   69.087975776  -15.716145010  -28.664583297
   -1.267660194   -3.141592654   68.093668839  -20.003821370  -30.637084082
   -1.212544533   -3.141592654   66.840604386  -25.074244059  -32.765731415
   -1.157428872   -3.141592654   65.283047155  -30.672394950  -34.968713365
   -1.102313212   -3.141592654   63.417845131  -36.393941641  -37.185352452
   -1.047197551   -3.141592654   61.232343629  -41.956572506  -39.345183106
   -0.992081891   -3.141592654   58.755891809  -47.173960518  -41.358469678
   -0.936966230   -3.141592654   56.007768448  -51.871302325  -43.171868819
   -0.881850569   -3.141592654   53.018648569  -56.016410501  -44.632615312
   -0.826734909   -3.141592654   49.825657215  -59.406828505  -45.701137653
   -0.771619248   -3.141592654   46.457014057  -62.007575712  -46.328363714
   -0.716503588   -3.141592654   42.961448064  -63.892090098  -46.414051035
   -0.661387927   -3.141592654   39.390657164  -64.750615126  -45.925128959
   -0.606272266   -3.141592654   35.807530500  -64.517782361  -44.878548943
   -0.551156606   -3.141592654   32.269312954  -62.963350430  -43.225515815
   -0.496040945   -3.141592654   28.856571095  -60.154686865  -41.092700919
   -0.440925285   -3.141592654   25.633788215  -56.084851831  -38.475909135
   -0.385809624   -3.141592654   22.674101908  -50.912411514  -35.535175715
   -0.330693964   -3.141592654   20.027685138  -44.789733219  -32.271850549
   -0.275578303   -3.141592654   17.740729732  -38.009077252  -28.725253641
   -0.220462642   -3.141592654   15.836784824  -30.855661511  -25.017483068
   -0.165346982   -3.141592654   14.331605714  -23.591001723  -21.156488906
   -0.110231321   -3.141592654   13.229674954  -16.360527490  -17.230713824
   -0.055115661   -3.141592654   12.532782456   -9.026753356  -13.241987793
    0.000000000   -3.141592654   12.238912054   -1.767888450   -9.190164924
    0.055115661   -3.141592654   12.341255975    5.693399911   -5.049081977
    0.110231321   -3.141592654   12.869097836   13.247249010   -0.958731444
    0.165346982   -3.141592654   13.819468803   21.181357586    3.111145317
    0.220462642   -3.141592654   15.211412033   29.207670898    7.079883660
    0.275578303   -3.141592654   17.051272500   37.367129965   10.900218328
    0.330693964   -3.141592654   19.331440710   45.193208787   14.462929273
    0.385809624   -3.141592654   22.026442246   52.268494673   17.670119299
    0.440925285   -3.141592654   25.085271765   58.470962477   20.473594898
    0.496040945   -3.141592654   28.451353605   63.184058977   22.706551132
    0.551156606   -3.141592654   32.031284353   66.067920947   24.350936508
    0.606272266   -3.141592654   35.710325172   66.769145552   25.369299927
    0.661387927   -3.141592654   39.368523521   65.162975491   25.757404943
    0.716503588   -3.141592654   42.876700204   61.259049787   25.447880742
    0.771619248   -3.141592654   46.095387542   55.208675377   24.641929505
    0.826734909   -3.141592654   48.936882088   47.271587663   23.370798510
    0.881850569   -3.141592654   51.301040440   38.005035664   21.713873376
    0.936966230   -3.141592654   53.121705063   27.881126108   19.822762407
    0.992081891   -3.141592654   54.376915198   17.477716069   17.842605646
    1.047197551   -3.141592654   55.055777801    7.152280374   15.813375050
    1.102313212   -3.141592654   55.174295683   -2.541805859   13.841499039
